name,kind,latitude,longitude,operator,beds,emergency,speciality
Minar Pharmacy,pharmacy,23.7177821169985,90.4008349947738,,,,
Azua Pharmacy,pharmacy,23.7708999976088,90.3679550517379,,,,
Green Specialized Hospital (Pvt. Ltd.),hospital,23.7869414515403,90.3774780672095,,,,
Mohongonj Upozilla Clinic,clinic,25.4041761923276,89.7681457253651,,,,
"M/S. Al Amin Pharmacy, Dewanhat, Mistripara, Chattogram",pharmacy,22.3368190612562,91.8122246943121,,,,
Hossen Diagonestics Center,clinic,24.437047058458,90.7808317602683,,,,
Satellite Clinic ( স্যাটেলাইট ক্লিনিক ),clinic,25.6040942222046,89.856535995634,,,,
Dhaka homeopathic International ঢাকা হোমিও ইন্টারন্যাশনাল,pharmacy,25.535093892366,89.2837543675013,,,,
Shawon Pharmacy শাওন ফার্মেসী,pharmacy,24.3614803456734,88.6272124647747,,,,
Satkhira diagonstic complex,clinic,22.7219985251209,89.0679166727459,,,,
"Urban Health Center, Hospital",hospital,23.7485727868494,90.4179433811602,,,,
পৌর্ষ ফার্মা,pharmacy,23.7402259200311,90.4333342317674,,,,
Nores Pharmacy,pharmacy,22.3687997937196,90.2197579744883,,,,
New Square Diagonestics Center,clinic,23.5539206876412,90.5316449873564,,,,
City Digital Diagonostic Center,clinic,24.879475172455,90.7312356200954,,,,
kollann Diagonestics Center,hospital,23.6047007716373,89.8365441507368,,,,
"BASC Dental Clinic, Hospital",hospital,24.0583126914005,90.223726973279,,,,
Life Pharma,pharmacy,25.7624072507563,89.2348626424711,,,,
PC Barokhali Newari Ambiya Khatun Community Clinic,clinic,22.3810812935256,89.7900580319175,,,,
Doctor's hospital(OS),hospital,22.3651893727466,91.8339335720744,,,,
"vaccine care Pharmacy, Chatteshwari Rd, Chattogram",pharmacy,22.3523582715496,91.8256895512081,,,,
Mirpur Pharma,pharmacy,23.799285647982,90.3546816375104,,,,
Advance Clinic and Diagnostic Centre,clinic,24.6658981608045,89.4176202343429,,,,
Sikarpur Ftiendship Matriseba Counseling Center,clinic,25.4437601491597,89.7237498855592,,,,
সেলিনা হোমিও হল,pharmacy,23.4506330932239,91.1786099789741,,,,
Rokeya pharmachy,pharmacy,23.7569360821978,90.4093225937463,,,,
"Prime Lab & Hospital,NAOGAON SHADAR HOSPITAL ROAD, Shebasrom Rd, Naogaon",hospital,24.8191649483696,88.9377597980586,,,,
North Bengal Hospital,hospital,24.3723177273816,88.5802519302357,,,,
"Saudagar Medical Hall, Pharmaceutical products wholesaler",pharmacy,24.9986283684752,90.0086179173665,,,,
MH Doctors Chamber,doctor,23.1811637910128,89.6479682607771,,,,
Fatima Diagonestic Center,clinic,22.8142641683221,89.5552887191973,,,,
Chittagong Shishu Hospital,hospital,22.3610906220948,91.8312056816866,,,,
Anisha Medicine Corner,pharmacy,23.8607713501684,90.0033371507291,,,,
Orin Dental Care,hospital,22.3602516774062,91.852436874787,,,,
"Jobeda Medical Store, Pharmacy",pharmacy,24.8822387697503,89.3634928373145,,,,
M/s Atik Medico,pharmacy,21.7782955533358,92.1943872597676,,,,
Saiful Medical Hall,pharmacy,23.8198955744192,90.3786700576598,,,,
"Ghosh Pharmacy, Kamal Gate Rd, Chattogram",pharmacy,22.3298362653604,91.8255984399206,,,,
Shah Amanat Pharmacy,pharmacy,22.3595468431683,91.8345698423443,,,,
Godagari Upazila Health Complex,hospital,24.473770271737,88.3239855504464,,,,
M A Medicine Corner,pharmacy,23.7736405446704,90.3608852516872,,,,
National Institute of Diseases of the Chest & Hospital,hospital,23.7762602246882,90.4087338488674,,,,
"Jemison redcrescent maternity hospital,Anderkilla",hospital,22.3424372833153,91.837450618646,,,,
Islampur Oushudhaloy,pharmacy,23.773818995389,90.3566945515576,,,,
Gaffar Medical Hall,pharmacy,23.2410851786099,90.354102028906,,,,
Lazz Pharma,pharmacy,23.7460206649711,90.4042534701641,,,,
"Seba Medical Hall, Pharmacy",pharmacy,24.7506012318674,90.4047185819712,,,,
Central Plaza Pharmacy,pharmacy,22.3594039317192,91.8222428288041,,,,
Bhai Bhai Dental Care,dentist,23.8091403353621,90.3696045264634,,,,
"New Life General Hospital, Hospital",hospital,24.8279280604995,92.1617705923104,,,,
Rahman Drug Store,pharmacy,23.7372710477053,90.4496357761545,,,,
Aurora Specialized Hospital Ltd.,hospital,23.7393206744884,90.4105066213886,,,,
"Lios eye hospital gate, Zakir Hossain Rd, Chattogram",hospital,22.3616927780188,91.816022618459,,,,
Shahin Pharmacy,pharmacy,24.380057576772,88.564872898112,,,,
Mamun Pharmacy,pharmacy,23.213931165089,89.7096847167579,,,,
